Марка	Цвет	Серийный номер	Рег. номер	127880598	127880620	0.00
Volkswagen	Белый	SN0906	P607FT	2022	2022	36745.00
Volkswagen	Коричневый	SN6705	X674QF	2015	2023	22345.00
Renault	Серый	SN0209	R352IW	2010	2025	41820.00
Toyota	Зелёный	SN2418	O925JK	2018	2021	12240.00
Honda	Чёрный	SN2152	B922JR	2024	2026	33453.00
Renault	Белый	SN6292	M397BP	2019	2019	28131.00
Toyota	Коричневый	SN3758	M969ZH	2024	2024	7299.00
Toyota	Коричневый	SN8026	X671XG	2010	2026	27179.00
Ford	Коричневый	SN4099	Q639HH	2014	2018	13330.00
Volkswagen	Жёлтый	SN1663	S673TO	2018	2018	43532.00
Audi	Белый	SN5901	R263KD	2025	2026	8960.00
Audi	Чёрный	SN7069	R596JU	2024	2025	49806.00
Renault	Белый	SN4884	D615BZ	2020	2023	39751.00
Mercedes	Белый	SN2492	J487FR	2011	2011	25318.00
Honda	Белый	SN4748	G117IV	2013	2026	43460.00
Audi	Серый	SN2689	Q611GH	2023	2025	26957.00
Ford	Белый	SN2734	J223UD	2017	2017	8526.00
Audi	Красный	SN8558	L527TH	2013	2017	35580.00
Renault	Серый	SN7432	J729UR	2013	2022	44608.00
Renault	Синий	SN0813	A751ZE	2010	2019	5830.00
